Plate #	Row	Column	ORF	Gene	Decription	GO Biological Process	GO Molecular Function	GO Cellular Component	96-position
1	B	22	YMR143W	RPS16A	"Protein component of the small (40S) ribosomal subunit; identical to Rps16Bp and has similarity to E. coli S9 and rat S16 ribosomal proteins"	translation, ribosome biogenesis, RNA metabolic process	structural molecule activity	ribosome, cytoplasm	4-A11
1	B	23	YML086C	ALO1	D-Arabinono-1,4-lactone oxidase, catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress	response to stress, heterocycle metabolic process, response to chemical stimulus	oxidoreductase activity	membrane, mitochondrial envelope, mitochondrion, cytoplasm	3-A12
1	B	24	YMR144W	YMR144W	"Putative protein of unknown function; localized to the nucleus; YMR144W is not an essential gene"	biological_process	molecular_function	nucleus	4-A12
1	C	1	YAL053W	FLC2	"Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance"	transport, protein folding	transporter activity	endoplasmic reticulum, cytoplasm	1-B1
1	C	2	YLL055W	YCT1	"High-affinity cysteine-specific transporter with similarity to the Dal5p family of transporters; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YCT1 is not an essential gene"	transport	transporter activity	endoplasmic reticulum, cytoplasm	2-B1
1	C	3	YAL051W	OAF1	"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"	cellular lipid metabolic process, transcription, peroxisome organization	transcription regulator activity, DNA binding	nucleus	1-B2
1	C	4	YLL056C	YLL056C	"Putative protein of unknown function, transcription is activated by paralogous transcription factors Yrm1p and Yrr1p and genes involved in pleiotropic drug resistance (PDR); expression is induced in cells treated with the mycotoxin patulin"	biological_process	molecular_function	cellular_component	2-B2
1	C	5	YAL049C	AIM2	"Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"	biological_process	molecular_function	cytoplasm	1-B3
1	C	6	YLL057C	JLP1	"Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase, involved in sulfonate catabolism for use as a sulfur source; contains sequence that resembles a J domain (typified by the E. coli DnaJ protein); induced by sulphur starvation"	other	oxidoreductase activity	cellular_component	2-B3
1	C	7	YAL048C	GEM1	"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death"	transport, vesicle-mediated transport, mitochondrion organization	hydrolase activity	membrane, mitochondrial envelope, mitochondrion, cytoplasm	1-B4
1	C	8	YLL058W	YLL058W	"Putative protein of unknown function with similarity to Str2p, which is a cystathionine gamma-synthase important in sulfur metabolism; YLL058W is not an essential gene"	other	transferase activity	cellular_component	2-B4
1	C	9	YAL046C	AIM1	"Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss"	biological_process	molecular_function	cellular_component	1-B5
1	C	10	YLL060C	GTT2	"Glutathione S-transferase capable of homodimerization; functional overlap with Gtt2p, Grx1p, and Grx2p"	cofactor metabolic process, cellular amino acid and derivative metabolic process	transferase activity	mitochondrion, cytoplasm	2-B5
1	C	11	YAL045C	YAL045C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"	biological_process	molecular_function	cellular_component	1-B6
1	C	12	YLL061W	MMP1	"High-affinity S-methylmethionine permease, required for utilization of S-methylmethionine as a sulfur source; has similarity to S-adenosylmethionine permease Sam3p"	transport	transporter activity	membrane, plasma membrane	2-B6
1	C	13	YAL044C	GCV3	"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"	cellular amino acid and derivative metabolic process, protein modification process	oxidoreductase activity	mitochondrion, cytoplasm	1-B7
1	C	14	YLL062C	MHT1	S-methylmethionine-homocysteine methyltransferase, functions along with Sam4p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio	cellular amino acid and derivative metabolic process	transferase activity	cytoplasm	2-B7
1	C	15	YAL042W	ERV46	"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport"	transport, vesicle-mediated transport	molecular_function	membrane, cytoplasmic membrane-bounded vesicle, endomembrane system, endoplasmic reticulum, cytoplasm, Golgi apparatus	1-B8
1	C	16	YLL063C	AYT1	"Acetyltransferase; catalyzes trichothecene 3-O-acetylation, suggesting a possible role in trichothecene biosynthesis"	other	transferase activity	cellular_component	2-B8
1	C	17	YAL043C-a	YAL043C-a	-	-	-	-	1-B9
1	C	18	YLR001C	YLR001C	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; predicted to be palmitoylated"	biological_process	molecular_function	membrane, vacuole, mitochondrion, cytoplasm	2-B9
1	C	19	YAL040C	CLN3	"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis"	vacuole organization, transcription, cell cycle, cellular membrane organization, RNA metabolic process	enzyme regulator activity	nucleus	1-B10
1	C	20	YLR003C	CMS1	"Subunit of U3-containing 90S preribosome processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit; overexpression rescues supressor mutant of mcm10; null mutant is viable"	ribosome biogenesis	molecular_function	nucleus	2-B10
1	C	21	YAL039C	CYC3	"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)"	protein modification process, protein complex biogenesis	lyase activity	mitochondrial envelope, mitochondrion, cytoplasm	1-B11
1	C	22	YLR004C	THI73	"Putative plasma membrane permease proposed to be involved in carboxylic acid uptake and repressed by thiamine; substrate of Dbf2p/Mob1p kinase; transcription is altered if mitochondrial dysfunction occurs"	transport	transporter activity	membrane, endoplasmic reticulum, cytoplasm	2-B11
1	C	23	YAL037W	YAL037W	Putative protein of unknown function	biological_process	molecular_function	cellular_component	1-B12
1	C	24	YLR011W	LOT6	"FMN-dependent NAD(P)H:quinone reductase, may be involved in quinone detoxification; expression elevated at low temperature; sequesters the Cin5p transcription factor in the cytoplasm in complex with the proteasome under reducing conditions"	transport, response to stress, response to chemical stimulus	protein binding, oxidoreductase activity	nucleus, cytoplasm	2-B12
1	D	1	YML084W	YML084W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	3-B1
1	D	2	YMR145C	NDE1	"Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain"	cofactor metabolic process, cellular carbohydrate metabolic process, generation of precursor metabolites and energy	oxidoreductase activity	mitochondrion, cytoplasm	4-B1
1	D	3	YML083C	YML083C	"Putative protein of unknown function; strong increase in transcript abundance during anaerobic growth compared to aerobic growth; cells deleted for YML083C do not exhibit growth defects in anerobic or anaerobic conditions"	biological_process	molecular_function	cellular_component	3-B2
1	D	4	YMR147W	YMR147W	Putative protein of unknown function	biological_process	molecular_function	cellular_component	4-B2
1	D	5	YML082W	YML082W	"Putative protein predicted to have carbon-sulfur lyase activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and the cytoplasm; YNML082W is not an essential gene"	other	lyase activity	nucleus, cytoplasm	3-B3
1	D	6	YMR148W	OSW5	"Protein of unknown function that may play a role in spore wall assembly; predicted to contain an N-terminal transmembrane domain; osw5 null mutant spores exhibit increased spore wall permeability and sensitivity to beta-glucanase digestion"	biological_process	molecular_function	membrane	4-B3
1	D	7	YML081W	YML081W	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YML081w is not an essential gene"	biological_process	DNA binding	nucleus	3-B4
1	D	8	YMR151W	YIM2	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 5% of ORF overlaps the verified gene IMP1"	biological_process	molecular_function	cellular_component	4-B4
1	D	9	YML080W	DUS1	"Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus3p, and Dus4p; modifies pre-tRNA(Phe) at U17"	RNA metabolic process	oxidoreductase activity	nucleus	3-B5
1	D	10	YMR150C	IMP1	"Catalytic subunit of the mitochondrial inner membrane peptidase complex, required for maturation of mitochondrial proteins of the intermembrane space; complex contains Imp1p and Imp2p (both catalytic subunits), and Som1p"	transport, mitochondrion organization	peptidase activity, hydrolase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	4-B5
1	D	11	YML079W	YML079W	"Non-essential protein of unknown function with structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to the nucleus and cytoplasm"	biological_process	molecular_function	nucleus, cytoplasm	3-B6
1	D	12	YMR152W	YIM1	"Protein of unknown function; null mutant displays sensitivity to DNA damaging agents; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	response to stress	molecular_function	mitochondrion, cytoplasm	4-B6
1	D	13	YML078W	CPR3	"Mitochondrial peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; involved in protein refolding after import into mitochondria"	protein folding	isomerase activity	mitochondrion, cytoplasm	3-B7
1	D	14	YMR153W	NUP53	Subunit of the nuclear pore complex (NPC), interacts with karyopherin Kap121p or with Nup170p via overlapping regions of Nup53p, involved in activation of the spindle checkpoint mediated by the Mad1p-Mad2p complex	transport, ribosome biogenesis, protein complex biogenesis, nucleus organization	structural molecule activity	nucleus, membrane, endomembrane system	4-B7
1	D	15	YML063W	RPS1B	"Ribosomal protein 10 (rp10) of the small (40S) subunit; nearly identical to Rps1Ap and has similarity to rat S3a ribosomal protein"	translation, ribosome biogenesis, RNA metabolic process	structural molecule activity	ribosome, cytoplasm	3-B8
1	D	16	YMR153C-A	YMR153C-A	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NUP53"	biological_process	molecular_function	cellular_component	4-B8
1	D	17	YML062C	MFT1	"Subunit of the THO complex, which is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance"	transport, transcription, DNA metabolic process, RNA metabolic process	other	nucleus	3-B9
1	D	18	YMR155W	YMR155W	"Putative protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen"	biological_process	molecular_function	cellular_component	4-B9
1	D	19	YML061C	PIF1	"DNA helicase; exists in two forms; the nuclear form is involved in telomere formation and elongation; acts as a catalytic inhibitor of telomerase; the mitochondrial form is involved in repair and recombination of mitochondrial DNA"	mitochondrion organization, chromosome organization, DNA metabolic process	helicase activity, hydrolase activity, enzyme regulator activity	nucleus, mitochondrion, cytoplasm	3-B10
1	D	20	YMR156C	TPP1	"DNA 3'-phosphatase that functions in repair of endogenous damage of double-stranded DNA, activity is specific for removal of 3' phosphates at strand breaks; has similarity to the l-2-haloacid dehalogenase superfamily"	response to stress, DNA metabolic process	hydrolase activity	cellular_component	4-B10
1	D	21	YML060W	OGG1	Mitochondrial glycosylase/lyase that specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA, contributes to UVA resistance	response to stress, DNA metabolic process	lyase activity, hydrolase activity	mitochondrion, cytoplasm	3-B11
1	D	22	YMR157C	AIM36	"Protein of unknown function; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"	biological_process	molecular_function	mitochondrion, cytoplasm	4-B11
1	D	23	YML059C	NTE1	"Serine esterase, homolog of human neuropathy target esterase (NTE); Nte1p-mediated phosphatidylcholine turnover influences transcription factor Opi1p localization, affecting transcriptional regulation of phospholipid biosynthesis genes"	cellular lipid metabolic process, cellular amino acid and derivative metabolic process	hydrolase activity	endoplasmic reticulum, cytoplasm	3-B12
1	D	24	YMR158W-A	YMR158W-A	-	-	-	-	4-B12
1	E	1	YAL036C	RBG1	"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"	biological_process	other	cytoplasm	1-C1
1	E	2	YLR012C	YLR012C	"Putative protein of unknown function; YLR012C is not an essential gene"	biological_process	molecular_function	cellular_component	2-C1
1	E	3	YAL035W	FUN12	"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"	translation	hydrolase activity	ribosome, mitochondrion, cytoplasm	1-C2
1	E	4	YLR013W	GAT3	Protein containing GATA family zinc finger motifs	transcription	transcription regulator activity, DNA binding	nucleus	2-C2
1	E	5	YAL034C	FUN19	"Non-essential protein of unknown function; expression induced in response to heat stress"	biological_process	molecular_function	cellular_component	1-C3
1	E	6	YLR014C	PPR1	"Zinc finger transcription factor containing a Zn(2)-Cys(6) binuclear cluster domain, positively regulates transcription of genes involved in uracil biosynthesis; activity may be modulated by interaction with Tup1p"	transcription, heterocycle metabolic process, cellular aromatic compound metabolic process, RNA metabolic process	transcription regulator activity, DNA binding	nucleus	2-C3
1	E	7	YAL031C	GIP4	"Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"	chromosome segregation	protein binding, enzyme regulator activity	cytoplasm	1-C4
1	E	8	YLR015W	BRE2	"Subunit of COMPASS (Set1C) complex, which methylates Lys4 of histone H3 and functions in silencing at telomeres; has a C-terminal Sdc1 Dpy-30 Interaction (SDI) domain that mediates binding to Sdc1p; similar to trithorax-group protein ASH2L"	chromosome organization, transcription, DNA metabolic process, protein modification process, RNA metabolic process	transcription regulator activity, transferase activity	nucleus	2-C4
1	E	9	YAL030W	SNC1	"Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins"	transport, vesicle organization, vesicle-mediated transport, cellular membrane organization	protein binding	cellular bud, cytoplasmic membrane-bounded vesicle, membrane, site of polarized growth, Golgi apparatus, cytoplasm, plasma membrane	1-C5
1	E	10	YLR016C	PML1	"Subunit of the RES complex, which is required for nuclear retention of unspliced pre-mRNAs; acts in the same pathway as Pml39p and Mlp1p"	transport, RNA metabolic process	molecular_function	nucleus, cytoplasm	2-C5
1	E	11	YAL029C	MYO4	"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p"	DNA metabolic process	motor activity, hydrolase activity, protein binding	cytoskeleton, mitochondrion, cellular bud, cytoplasm	1-C6
1	E	12	YLR017W	MEU1	"Methylthioadenosine phosphorylase (MTAP), catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of ornithine decarboxylase (Spe1p) activity; regulates ADH2 gene expression"	cellular amino acid and derivative metabolic process	transferase activity	cytoplasm	2-C6
1	E	13	YAL028W	FRT2	"Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress; potential Cdc28p substrate"	response to stress	molecular_function	endoplasmic reticulum, cytoplasm	1-C7
1	E	14	YLR018C	POM34	"Integral membrane protein of the nuclear pore; has an important role in maintaining the architecture of the pore complex"	transport, nucleus organization	molecular_function	nucleus, membrane, endomembrane system	2-C7
1	E	15	YAL027W	SAW1	"Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"	response to stress, DNA metabolic process	molecular_function	nucleus	1-C8
1	E	16	YLR019W	PSR2	"Functionally redundant Psr1p homolog, a plasma membrane phosphatase involved in the general stress response; required with Psr1p and Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p"	response to stress	phosphoprotein phosphatase activity, hydrolase activity	membrane, plasma membrane	2-C8
1	E	17	YAL026C	DRS2	"Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease"	transport, vesicle-mediated transport, ribosome biogenesis, cellular membrane organization	transporter activity, hydrolase activity	cytoplasm, Golgi apparatus	1-C9
1	E	18	YLR020C	YEH2	"Steryl ester hydrolase, catalyzes steryl ester hydrolysis at the plasma membrane; involved in sterol metabolism"	other	hydrolase activity	membrane, plasma membrane	2-C9
1	E	19	YAL023C	PMT2	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"	cellular carbohydrate metabolic process, protein modification process	transferase activity	endoplasmic reticulum, cytoplasm	1-C10
1	E	20	YLR021W	IRC25	"Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions"	protein complex biogenesis, RNA metabolic process	molecular_function	other	2-C10
1	E	21	YAL022C	FUN26	"Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes"	transport	transporter activity	membrane	1-C11
